sm_id,sm_name,sm_price,sm_ingredients,sm_img,sm_type
93,Tart Cherry X-treme,10.59,"bananas,tartcherries,pearpassionfruitjuiceblend,turbinado,dairywheyblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-muscle-punch.png,mango
94,Strawberry-Kiwi Breeze,10.59,"strawberries,kiwiapplejuiceblend,papayajuiceblend,dairywheyblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-passion-passport.png,mango
95,Strawberry X-treme,10.59,"strawberries,papayajuiceblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-pineapple-surf.png,mango
96,Pineapple Surf,10.59,"strawberries,pineapples,kiwiapplejuiceblend,turbinado,dairywheyblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-strawberry-xtreme.png,mango
97,Passion Passport,10.59,"bananas,pearpassionfruitjuiceblend,papayajuiceblend,applepineapplejuiceblend,turbinado",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-strawberry-kiwi-breeze.png,mango
98,Orange X-treme,10.59,"bananas,applepineapplejuiceblend,electrolyteblend,orangejuiceblend,turbinado",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-tart-cherry-x-treme-cup-only.png,mango
99,Muscle Punch,10.59,"bananas,strawberries,nonfatmilk,turbinado,wheyprotein,supergrainsenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-take-a-break-yogurt-dlite.png,mango
100,Strawberry Bluegurt Blitz,10.59,"strawberries,greeknonfatyogurt,appleblueberryjuiceblend,dairywheyblend,multivitaminenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-kids-apple-kiwi-bunga.png,raspberry
101,Apple Kiwi Bunga,10.59,"bananas,applejuiceblend,kiwiapplejuiceblend,multivitaminenhancer,kale",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-kids-berry-interesting.png,raspberry
102,CW Jr. ,10.59,"bananas,strawberries,papayajuiceblend,multivitaminenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-kids-choc-a-laka.png,raspberry
103,Lil Angel,10.59,"bananas,strawberries,multivitaminenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-kids-cw-jr.png,raspberry
104,Choc-a-Laka,10.59,"dates,vanillafrozenyogurt,nonfatmilk,cocoa,turbinado,multivitaminenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-kids-lil-angel.png,raspberry
105,Berry Interesting,10.59,"strawberries,raspberries,appleblueberryjuiceblend,multivitaminenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-kids-strawberry-bluegurt-blitz.png,raspberry
